,time_to_collect,avg_bill_methods,debtor_volume_handled,bill_amount_collected,total_actual,total_cost,success_rate,collector_age,collector_marital_status,collector_gender
957,15,panggilan,34,81000000,387000000,17109483,21.0,50,Menikah,perempuan
958,8,surat panggilan,35,44000000,294000000,2986711,15.0,39,Cerai hidup,perempuan
959,15,panggilan,41,108000000,187500000,13579669,57.99999999999999,51,Menikah,laki-laki
960,24,datang ke tempat,69,178000000,982500000,246910922,18.0,49,Menikah,laki-laki
961,24,datang ke tempat,47,436000000,565000000,53893961,77.0,52,Menikah,perempuan
962,4,sms or WA,13,17700000,111200000,620601,16.0,26,Menikah,laki-laki
963,19,datang ke tempat,33,150000000,156000000,149172832,96.0,38,Belum menikah,perempuan
964,1,sms or WA,11,46200000,66300000,488484,70.0,57,Belum menikah,perempuan
965,1,sms or WA,1,4600000,8200000,30384,56.00000000000001,50,Menikah,laki-laki
966,29,datang ke tempat,32,324000000,526000000,171069713,62.0,48,Menikah,perempuan
967,23,datang ke tempat,46,1504000000,1565000000,218601591,96.0,43,Cerai hidup,laki-laki
968,10,surat panggilan,35,19500000,108500000,2372228,18.0,40,Cerai hidup,perempuan
969,5,sms or WA,13,6200000,22000000,322912,28.000000000000004,46,Menikah,laki-laki
970,11,panggilan,30,33000000,276000000,8453750,12.0,49,Cerai hidup,laki-laki
971,28,datang ke tempat,54,588000000,1513500000,172343072,39.0,53,Cerai mati,laki-laki
972,26,datang ke tempat,34,284000000,335000000,119095719,85.0,23,Belum menikah,perempuan
973,22,datang ke tempat,61,368000000,566000000,420425058,65.0,60,Belum menikah,perempuan
974,21,datang ke tempat,50,332000000,1249000000,131111393,27.0,62,Menikah,perempuan
975,15,panggilan,46,300000000,480000000,23072564,62.0,36,Menikah,perempuan
976,16,datang ke tempat,58,612000000,1808000000,98733329,34.0,49,Cerai hidup,laki-laki
977,13,panggilan,46,447000000,659000000,50149390,68.0,46,Menikah,perempuan
978,7,surat panggilan,23,54500000,156000000,1325055,35.0,44,Cerai hidup,perempuan
979,24,datang ke tempat,34,78000000,134000000,151373812,57.99999999999999,40,Belum menikah,perempuan
980,2,sms or WA,12,32700000,50200000,636737,65.0,25,Cerai hidup,perempuan
981,13,panggilan,49,840000000,952500000,20023825,88.0,39,Belum menikah,laki-laki
982,11,panggilan,38,110000000,128000000,33022429,86.0,33,Cerai hidup,perempuan
983,17,datang ke tempat,61,1300000000,1556000000,248260826,84.0,25,Belum menikah,perempuan
984,18,datang ke tempat,46,394000000,572000000,139496666,69.0,62,Belum menikah,perempuan
985,28,datang ke tempat,31,276000000,869000000,212738380,32.0,24,Cerai mati,laki-laki
986,21,datang ke tempat,65,1560000000,1609000000,477823364,97.0,30,Cerai mati,perempuan
987,11,panggilan,42,259000000,476000000,9989833,54.0,41,Cerai hidup,laki-laki
988,27,datang ke tempat,67,456000000,1446500000,123053161,32.0,36,Cerai hidup,perempuan
989,18,datang ke tempat,52,154000000,842000000,374619555,18.0,33,Belum menikah,perempuan
990,10,surat panggilan,36,86500000,86500000,3472578,100.0,34,Belum menikah,laki-laki
991,4,sms or WA,16,6900000,115500000,473328,6.0,39,Menikah,laki-laki
992,1,sms or WA,13,5500000,7100000,166818,77.0,52,Belum menikah,perempuan
993,8,surat panggilan,24,18000000,99500000,2238590,18.0,32,Belum menikah,perempuan
994,26,datang ke tempat,44,248000000,682000000,74504394,36.0,52,Cerai hidup,laki-laki
995,10,surat panggilan,25,219000000,304500000,1927892,72.0,43,Menikah,perempuan
996,24,datang ke tempat,30,112000000,1048500000,185243379,11.0,60,Cerai mati,laki-laki
997,21,datang ke tempat,62,228000000,1322500000,390631200,17.0,37,Cerai hidup,perempuan
998,12,panggilan,46,257000000,658000000,46407646,39.0,59,Cerai mati,laki-laki
999,5,sms or WA,19,10600000,10700000,644227,99.0,39,Menikah,laki-laki
