,avg_bill_methods,debtor_volume_handled,bill_amount_collected,total_actual,total_cost,success_rate,time_to_collect,collector_gender,collector_marital_status,collector_age
983,datang ke tempat,55,160000000,920000000,2770251,17.0,30,perempuan,Belum menikah,25
984,datang ke tempat,49,700000000,957500000,2166146,73.0,29,perempuan,Belum menikah,62
985,datang ke tempat,47,294000000,319000000,2687665,92.0,23,laki-laki,Cerai mati,24
986,datang ke tempat,42,132000000,960000000,2122238,14.000000000000002,26,perempuan,Cerai mati,30
987,datang ke tempat,48,146000000,460500000,2663433,32.0,24,laki-laki,Cerai hidup,41
988,datang ke tempat,52,118000000,149000000,3061289,79.0,18,perempuan,Cerai hidup,36
989,datang ke tempat,50,114000000,455500000,2854240,25.0,28,perempuan,Belum menikah,33
990,datang ke tempat,59,552000000,1538500000,3080151,36.0,21,laki-laki,Belum menikah,34
991,datang ke tempat,47,218000000,1225000000,2765313,18.0,28,laki-laki,Menikah,39
992,datang ke tempat,51,1488000000,1645500000,2677951,90.0,19,perempuan,Belum menikah,52
993,datang ke tempat,47,236000000,791500000,2852705,30.0,25,perempuan,Belum menikah,32
994,datang ke tempat,46,102000000,761000000,2009203,13.0,24,laki-laki,Cerai hidup,52
995,datang ke tempat,47,470000000,1582000000,1909527,30.0,27,perempuan,Menikah,43
996,datang ke tempat,40,340000000,542000000,1944959,63.0,18,laki-laki,Cerai mati,60
997,datang ke tempat,41,194000000,293500000,2007534,66.0,21,perempuan,Cerai hidup,37
998,datang ke tempat,42,96000000,94500000,1934095,102.0,17,laki-laki,Cerai mati,59
999,datang ke tempat,41,96000000,797500000,2072971,12.0,25,laki-laki,Menikah,39
